CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
1186,9025,8786,9319,1213,6983,10117,6.1,33.26983501,78152,93600,5.6,2778,11259,3260,36.7,18062,17.9,80.3,8.460129578,26.34153955,87.16436462,971,2049,34.57139341,62294,2.4,212.0,358,1.321582372,20445,35904,2699,3908,30,74.4,188,7.0,218,6.5,29.3,4691,1,12.7,9748,7567,230.8,49281,1349,574,34933,9488,66999,1089,9158,9.5,85876,6.6,2042
616,5176,1603,1928,166,2640,3734,6.5,9.709160286,33176,38888,13.3,1831,5487,1885,53.4,7361,32.2,79.9,1.204281602,5.180139524,20.95680472,276,96,7.519557373,16576,4.5,188.2,9,0.507065938,1397,5798,2027,2100,12,75.0,174,13.8,142,7.0,39.3,2328,12,10.4,2064,1708,207.6,13794,159,189,5522,1855,17366,349,2327,16.9,36032,13.7,1141
779,7989,3395,3208,-283,2960,4246,7.4,9.483139611,34987,42711,9.8,1954,5499,2480,59.9,11972,20.8,85.1,4.547024303,13.6830337,38.53908266,554,163,21.92642256,16073,3.9,225.8,47,0.438681036,1570,9619,4127,1893,3,77.8,204,10.9,374,8.1,43.8,3410,0,12.0,3403,3572,253.1,19998,8980,1984,9065,3025,25825,402,3533,17.0,38849,12.4,836
434,5350,2147,2230,-15,2607,4121,6.3,11.65935659,63980,74512,7.5,1097,4716,1124,44.6,6530,25.0,88.0,5.422350296,7.853283783,24.85026644,331,48,10.70132114,18194,3.0,206.5,279,0.905897465,2899,10167,858,1537,20,80.5,190,7.9,110,6.8,35.8,1703,7,10.5,2555,1874,227.6,14647,144,235,9836,2192,18975,379,2985,11.6,69246,7.7,848
338,2433,1100,1346,189,2068,2942,5.4,3.918898733,59194,70470,9.2,876,3806,802,47.8,4572,34.3,72.9,2.382243581,4.427719542,13.82051906,164,129,4.03631892,11043,3.5,199.9,480,0.213231797,2297,6250,791,1340,11,66.5,151,9.9,522,6.2,33.9,1335,32,8.4,1376,1045,224.8,9567,192,23,6086,1018,11702,176,1871,14.0,64832,8.4,538
1650,15212,7187,7439,-163,9671,14250,7.4,21.30962779,53834,59554,7.9,4124,17940,4456,37.9,19901,27.7,112.9,29.24483332,68.13819257,160.8350735,1473,587,41.47156112,61469,3.1,304.1,117,0.545894786,14339,31709,3989,6234,24,94.8,200,10.5,118,10.2,29.0,5801,2,8.6,6789,7333,375.1,52522,868,641,30236,6143,64265,1117,10069,11.0,56694,8.5,3400
296,3516,975,1179,-95,1478,1725,9.2,6.680444803,39382,48052,11.8,917,2814,1136,57.7,4487,28.1,100.1,3.595920329,5.253919523,15.08886929,230,19,5.070893638,9540,3.8,231.6,11,0.301454399,764,4326,1262,957,0,89.4,18,14.8,11,10.5,40.2,1273,7,9.1,1093,1013,263.4,7778,43,106,4096,999,9721,101,1500,16.4,43717,14.6,527
53,408,190,197,-33,266,482,8.3,0.80616926,52525,65151,9.8,137,536,131,45.8,642,32.8,109.4,0.471963601,1.047041876,2.511433257,37,11,0.856300109,1594,3.7,271.5,20,0.02486164,241,898,107,190,1,101.0,50,6.4,504,9.2,33.2,182,6,8.7,179,134,303.4,1401,9,0,861,168,1708,43,249,13.0,58838,9.4,135
1107,7246,2969,3346,-62,4930,6929,6.3,13.41841709,40738,48926,10.7,2663,9967,2780,53.2,13283,32.2,90.3,7.563827495,15.2859844,42.28834478,515,272,16.11361538,19080,4.4,231.8,163,0.345445975,4180,12636,4419,3609,30,81.7,111,15.7,43,7.3,38.4,4236,9,9.7,3285,3178,263.2,24969,10614,925,12121,2977,30650,543,4503,17.0,44832,11.1,1853
359,2501,1086,1203,-57,1189,1975,6.1,3.322648421,31299,38669,10.3,793,2739,892,54.0,4146,26.3,79.1,3.240824186,4.849060053,12.45676576,209,74,4.690282072,4749,4.7,202.9,279,0.141244216,1085,4560,1380,924,6,71.9,58,14.5,274,7.0,38.6,1454,0,12.4,1442,1208,228.7,7674,5263,134,4351,1348,10247,97,1361,18.9,34984,11.6,486
