CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
253,1717,916,840,47,1089,1804,7.1,3.92034924,34727,42827,8.7,526,2034,452,41.1,2494,25.0,95.4,3.235043975,3.603611512,10.49409681,179,82,4.167980555,7519,4.2,262.5,183,0.128134808,1069,4080,711,700,15,88.9,325,8.6,183,7.8,29.2,867,3,11.0,1241,919,285.7,6074,77,36,3901,1125,8200,182,1005,14.3,38777,7.4,365
3679,20957,12414,11509,1301,14025,25708,6.1,41.41121927,37395,43905,10.6,8569,24267,9193,47.8,38682,22.5,78.1,29.87644677,51.20576573,142.7447346,3151,757,52.4069837,55688,4.5,224.0,18,1.278219115,11025,40598,11963,9185,127,73.2,50383,9.7,92,6.9,32.5,12334,6,13.5,16360,13469,242.0,80973,1114,2010,37447,15926,110445,2376,13441,15.2,40650,11.4,4116
1067,9831,4000,4263,-184,4809,6736,6.7,13.02171651,36198,44372,8.8,2476,7858,2747,53.2,14917,21.8,65.9,1.270121847,13.99508091,40.13347631,730,95,24.76144087,17966,3.8,174.8,64,1.175159466,3362,14591,4592,2732,16,61.2,153,12.4,381,7.1,39.7,4659,9,10.8,4402,4823,191.3,28016,16841,1843,13861,3998,35451,380,5138,16.6,40285,9.8,1286
2131,11295,14263,14103,998,11949,18766,6.7,38.79958011,72491,78989,5.8,4587,18766,4744,41.3,32731,18.4,65.9,3.784462235,41.6998222,119.5819329,1950,2848,73.77932919,60829,2.7,174.8,332,3.501511788,32446,53303,5563,5736,80,61.2,382,10.3,127,7.1,33.6,8537,10,12.0,15332,13258,191.3,79216,40475,1754,51353,13829,105630,1016,14258,10.8,75740,6.0,2902
200,1989,787,764,4,1129,1890,9.4,4.109477975,43335,53445,8.6,493,2163,445,42.2,2419,28.6,91.5,2.737318378,2.408280108,8.064938036,126,76,3.528410391,6438,3.5,236.2,168,0.392045599,1108,4129,327,641,4,88.0,692,8.3,307,9.8,33.5,703,5,11.4,950,736,247.1,5734,37,126,4003,896,7437,190,999,12.3,48390,7.8,535
598,5059,2655,2770,343,2743,5576,5.5,12.37824819,46464,57206,8.2,1421,5298,1411,47.5,8250,23.2,73.9,8.296916899,5.222493,18.72847747,413,240,9.236697131,22167,3.4,181.6,38,0.604144434,2138,11535,2252,2060,24,68.9,416,9.0,297,5.8,36.7,2181,58,13.0,3479,2647,192.6,17380,107,94,11122,3243,23551,597,2974,12.6,51835,8.1,980
127,980,389,460,-25,640,1103,5.8,1.857859773,37448,45978,10.6,339,1198,382,51.3,1643,28.8,99.6,0.764748357,2.961712037,6.562351072,105,18,1.523052206,3785,4.0,240.5,346,0.057386815,334,1343,565,463,5,87.2,29,17.6,159,7.0,36.3,451,46,9.4,432,351,284.4,3200,21,17,1238,352,3910,52,606,14.1,41713,11.9,217
246,2333,1060,952,-8,1461,2724,6.2,6.647225787,51759,60171,8.2,622,2986,559,47.1,3587,29.0,88.2,4.33652349,4.716364963,14.48145618,146,56,5.512976943,9905,3.2,214.5,168,0.49062857,1504,5725,518,895,12,80.3,75,11.7,147,6.8,36.3,846,17,13.7,1294,990,239.2,7619,39,112,5579,1465,10178,91,1425,11.1,55965,7.3,636
473,5422,1272,1265,-57,2876,2844,7.1,6.638274436,43769,53815,12.4,1453,4882,1463,54.3,6363,33.7,93.7,2.745686578,9.708138678,27.97505886,318,42,7.415564062,13715,4.0,248.6,100,0.238221465,1132,4743,1644,1881,3,83.7,56,9.7,274,8.3,38.6,1956,3,9.1,1422,1294,292.7,11720,394,2673,4425,1430,14354,144,2011,16.7,48792,12.5,903
229,1724,832,846,-77,924,1344,5.8,4.21155143,37204,45168,10.7,603,1985,604,51.8,2925,26.1,73.9,2.400211611,2.45798068,8.687722463,116,32,2.107639233,6004,4.1,189.1,351,0.232939791,907,3105,1151,673,11,68.5,350,10.2,84,6.2,39.2,909,42,10.4,981,812,206.7,5648,621,267,2989,899,7348,330,1016,16.1,41186,10.7,365
240,1863,989,969,-47,691,1218,6.1,2.05967237,30379,36407,10.0,522,1362,595,54.9,2879,20.9,79.1,2.008950447,3.005877765,7.721808931,96,46,2.907453081,2306,4.6,202.9,266,0.0875557,446,2256,1217,422,21,71.9,30,8.5,137,7.0,42.5,1010,4,8.3,673,939,228.7,5241,3872,1712,2160,561,6352,77,830,19.3,33393,11.4,278
1098,11054,7351,5485,613,4788,9701,7.8,17.96661529,40145,47821,7.7,2637,6771,3242,48.2,16508,15.0,84.1,7.68995197,25.13521459,75.1249154,978,1092,23.70149473,32945,3.2,231.8,177,1.584110054,3643,19519,5223,2224,30,75.8,393,8.6,21,9.1,35.1,4427,39,13.0,6422,6406,260.3,34281,11057,293,18541,7006,46721,1204,5929,12.9,43983,9.5,1110
