CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
771,6396,2829,2831,167,3860,5727,6.7,16.04279098,47914,52834,10.1,2072,7218,2314,49.7,10213,27.4,97.8,10.07635369,19.75050558,54.0788287,760,89,11.77305929,25313,3.8,249.7,237,0.383556683,3406,12456,2546,2460,11,87.6,428,10.0,350,7.9,38.6,2823,13,11.3,3463,2922,287.0,20545,337,303,11696,3221,26625,447,3831,13.7,50374,11.3,1208
1454,18496,5341,5880,-557,8271,9051,7.2,28.83724008,43018,48504,9.2,3796,15253,4097,46.7,19282,28.8,100.8,22.69271433,41.53459233,107.1469191,1104,231,28.03264746,49662,3.5,273.3,43,0.796586726,6742,22421,3913,4801,22,88.2,109,13.1,162,8.7,33.2,5416,0,9.7,5751,5137,320.5,41304,593,1302,21317,5272,51266,649,7885,13.1,45761,9.9,2928
871,10860,4363,4451,169,4349,7263,6.1,18.75999787,50857,58579,7.3,2222,8058,2792,47.0,14283,21.5,80.3,4.770447847,14.85331158,49.14972658,637,394,19.49391292,35248,2.9,212.0,153,0.745206054,3984,16882,2678,2713,18,74.4,135,9.2,44,6.5,33.7,3698,6,10.7,5118,6202,230.8,30379,1435,5022,16245,3915,37779,549,5107,12.2,54718,9.2,1561
2118,19984,11357,11444,505,10791,21265,5.8,52.7211958,58266,65432,7.8,5484,19479,5716,46.9,33057,21.6,73.9,30.04641601,30.76958286,108.7549623,1483,1370,26.38392586,69216,3.0,189.1,155,2.915995343,14803,44792,4804,6736,79,68.5,12403,9.1,43,6.2,36.5,7913,1,10.6,12646,11595,206.7,70506,1175,1216,43309,11163,91984,7741,12774,11.2,61849,8.1,3478
3490,33106,15993,15845,129,16909,30526,6.7,81.03462274,45124,51702,8.4,8686,31227,10002,48.0,49754,23.2,97.8,50.89722362,99.76286363,273.1605422,2646,4026,59.46754649,109628,3.4,249.7,154,1.93740423,19318,62865,8123,10074,61,87.6,1047,10.3,5,7.9,37.5,12987,42,12.0,17666,17281,287.0,103686,15004,4326,60219,16698,134487,4721,17982,12.5,48413,9.6,6039
17872,84630,183382,120821,4139,93694,131509,6.2,339.3698743,107200,114002,4.6,35077,179193,28886,23.9,182564,20.7,96.2,176.7858465,499.3636333,1312.350762,13545,317204,344.1931335,467444,2.3,243.8,131,8.016435378,394004,575567,79408,54600,4015,87.1,6570,7.5,170,7.2,16.8,67258,54,10.2,60660,151437,279.6,764613,49184,24235,562022,72007,883305,38888,107395,8.8,110601,3.8,39309
608,5932,2283,2367,-237,2664,4124,6.1,6.582066976,45569,51847,9.1,1433,5131,1669,46.1,7266,24.7,79.1,6.419975617,9.605842687,24.67647977,404,136,9.291308264,14106,3.9,202.9,27,0.27980056,1470,9182,2659,1826,14,71.9,73,11.4,29,7.0,32.9,2438,3,10.0,2532,2443,228.7,15759,5724,89,8778,2435,20299,246,2949,15.5,48708,10.6,800
64,607,350,287,44,377,592,8.6,1.717616055,47916,58298,7.8,165,732,128,40.4,850,26.7,92.8,1.282655982,1.076288064,3.04154562,45,20,1.501723464,2633,3.1,219.1,96,0.180968789,372,1557,238,232,0,84.8,76,8.6,159,9.2,30.4,216,54,15.5,402,277,240.4,2106,21,96,1512,361,2801,51,331,10.3,53107,6.1,184
13632,128245,73278,78076,1167,84949,109517,7.2,353.3610977,86842,90234,6.3,31557,151809,31984,39.3,196424,24.2,100.8,278.0683041,508.9498542,1312.939548,12783,32220,343.5019111,555198,2.7,273.3,151,9.761085292,180201,341069,27363,49074,376,88.2,1787,9.7,46,8.7,29.8,53389,40,9.3,77403,70438,320.5,499979,27543,8038,328286,64634,628195,11071,99861,10.7,88538,6.4,30482
129,1412,652,457,-68,527,881,7.3,2.351326316,26216,32814,7.6,260,1149,201,48.3,1660,26.0,91.1,1.102119472,2.028148426,5.995364193,90,54,2.117229511,3927,3.8,213.8,476,0.084937779,391,1624,677,348,0,82.1,147,11.0,361,7.7,35.7,492,0,10.3,543,567,244.8,3436,112,573,1534,454,4341,101,533,14.3,29515,5.8,260
7194,62181,34363,34061,-659,34718,64375,5.8,134.9827781,51486,56104,7.8,16890,65218,18791,42.7,93017,22.7,99.6,55.56278212,215.1831502,476.7875332,8095,8150,110.6573385,227365,3.3,240.5,276,4.169438305,43910,141196,23963,21439,157,87.2,1553,9.8,355,7.0,32.9,25818,13,12.5,36896,35589,284.4,217591,38708,4743,133101,36179,284081,8148,38394,11.9,53795,8.6,12442
217,2480,955,1121,-20,1027,1809,7.6,3.72397112,51081,62457,9.8,640,1996,775,51.0,3322,22.9,77.3,1.932545013,3.87096998,12.65366187,170,28,5.750595403,8464,3.3,214.6,399,0.205798404,636,4089,875,719,1,72.9,31,9.2,143,8.3,38.7,914,4,13.1,1243,1004,230.9,6520,135,90,3919,1177,8758,99,1202,14.0,56769,11.9,310
48,415,218,185,15,336,516,9.7,1.507510423,60694,75792,8.9,130,608,111,48.6,710,33.4,87.0,0.582972515,0.901424461,2.319049254,36,5,1.173649512,1854,3.3,217.1,362,0.100158273,245,873,135,176,1,79.6,54,2.6,26,10.5,36.9,178,0,11.3,260,145,237.6,1461,8,2,837,269,1952,30,274,12.2,68243,7.6,89
5256,50266,21389,22063,-2856,26324,34460,9.2,124.0112115,39988,43864,10.5,15219,49628,17475,52.2,75463,26.4,100.1,66.75220729,97.53017113,280.0994566,4263,2044,94.1326037,159858,3.6,231.6,390,5.595993426,33388,82263,15894,15745,59,89.4,301,13.7,550,10.5,37.4,21166,3,10.1,20336,21530,263.4,144442,13771,3338,78000,19474,180454,4421,24637,14.7,41926,12.1,8956
287,3627,1251,1260,-72,1699,2650,6.5,8.191703486,58883,69497,8.0,734,3281,685,42.4,3877,27.0,84.8,3.23346741,4.844515065,15.49259239,173,42,7.285726099,11710,3.1,193.1,15,0.447302643,1412,6407,645,1024,2,77.9,18,9.4,17,6.9,35.0,1022,12,11.6,1569,1242,218.2,9149,103,95,6234,1486,11964,89,1725,11.2,64190,7.5,708
23,229,84,72,6,152,165,9.4,0.456424473,34598,42966,9.1,59,281,52,41.9,273,37.6,91.5,0.304023797,0.267478737,0.895742748,17,5,0.391887452,769,3.6,236.2,310,0.04354305,148,369,30,85,0,88.0,14,2.4,307,9.8,31.5,80,0,12.2,108,67,247.1,651,7,89,352,89,826,31,117,12.3,38782,7.9,52
486,6388,2421,2298,114,2570,3732,6.1,9.485520507,47744,56920,8.6,1293,4691,1575,46.3,6984,24.4,80.3,2.412056825,7.510202965,24.85132156,344,95,9.856606172,18188,3.2,212.0,282,0.376794676,2028,9323,1434,1455,7,74.4,69,9.5,50,6.5,34.7,1963,0,10.4,2266,2440,230.8,15089,542,1514,8979,2114,19102,201,2625,13.0,52332,10.4,913
16872,107599,97313,81193,15,80603,146410,7.3,367.6220968,49762,52982,6.2,32977,140933,31913,37.5,199236,20.9,91.1,172.3127361,317.094302,937.3553727,14850,19454,331.0218352,571760,3.2,213.8,31,13.27974094,157155,329380,51916,48038,1017,82.1,42255,8.7,110,7.7,27.3,60774,40,10.8,85588,95507,244.8,531331,23386,11913,314530,78747,678701,20829,86148,11.4,51372,6.0,25564
11726,84351,86547,74852,4416,73792,121561,7.1,277.4043903,82944,88156,5.1,23840,124374,23563,29.9,139023,22.1,95.4,228.9121062,254.9919901,742.56357,10118,17749,294.9268123,532081,2.5,262.5,175,9.066834645,180236,334242,22840,40954,678,88.9,6944,7.9,121,7.8,22.3,33878,25,10.4,66378,74304,285.7,465718,8173,8757,324124,61097,580233,14608,81341,7.3,85550,5.1,20968
1092,8886,5255,4756,133,4257,7942,6.1,13.15537905,41914,49446,8.0,2457,8091,2860,48.8,14902,20.0,79.1,12.83141193,19.1989085,49.32013698,776,664,18.57025802,26715,3.6,202.9,128,0.559228954,4257,19337,4705,2782,25,71.9,190,10.1,10,7.0,36.8,4348,3,13.6,5999,5666,228.7,30551,12422,1554,18561,5585,40571,555,4875,14.2,45680,9.4,1396
781,6784,3331,3147,-9,3008,4696,6.1,8.718263697,33818,40478,9.1,1790,5815,2122,49.4,9774,21.4,79.1,8.50356591,12.72339979,32.6851821,694,225,12.30678385,18841,3.9,202.9,7,0.370609275,2790,11945,3362,1980,37,71.9,225,12.3,26,7.0,36.2,3171,7,13.6,3957,3295,228.7,19774,7134,326,11251,3826,26887,425,3314,16.0,37148,10.7,1029
366,2981,1389,1370,159,1659,2524,5.4,4.364639137,39025,48403,9.4,903,3038,880,52.1,4991,24.0,72.9,2.653202921,4.931333857,15.39248205,245,125,4.495414842,10247,3.8,199.9,144,0.237485047,1550,4990,1290,1033,22,66.5,125,9.6,111,6.2,38.9,1479,56,13.5,1863,1609,224.8,9570,2173,65,4745,1920,13033,341,1634,15.5,43714,9.2,556
104,771,403,360,-30,463,675,5.4,1.22335815,35423,44029,9.7,260,948,245,47.1,1265,25.3,72.9,0.743662263,1.382196162,4.314335681,53,11,1.260013076,3266,3.9,199.9,334,0.066564327,467,1466,464,308,2,66.5,50,13.1,165,6.2,35.4,405,17,10.1,498,407,224.8,2688,225,99,1413,553,3653,99,451,15.1,39726,9.1,210
2530,21011,11251,10663,-1262,11359,18606,9.2,64.06519765,36807,42773,9.8,7342,22787,8960,54.0,40375,23.7,100.1,34.48473169,50.38487744,144.7016511,1955,1234,48.62966655,85022,3.4,231.6,339,2.890935591,16322,41287,7599,7716,25,89.4,204,12.7,496,10.5,38.0,10298,3,10.9,11310,15409,263.4,74829,4581,3934,39332,10172,93224,2158,11044,13.8,39790,12.0,4300
254,2507,1146,1321,109,911,1203,6.0,3.39451884,37973,47405,9.9,690,1667,810,49.3,3429,19.2,86.8,2.497923103,4.753556275,11.93124176,91,26,5.067180298,7325,3.7,240.7,233,0.088962631,969,2847,1467,615,10,80.1,71,9.1,232,6.9,36.7,959,72,7.5,1142,1377,265.2,6961,1179,1481,2756,854,8732,121,1022,13.8,42689,11.6,344
538,5800,2823,2739,57,3448,5863,7.1,13.39518107,64243,71791,7.1,1293,5649,1220,43.7,8012,24.0,94.6,7.523544921,12.47927125,37.60545796,363,211,12.43429354,23007,2.9,238.3,16,0.543821454,4022,13933,839,1867,11,86.4,56,8.3,33,7.9,35.4,1793,1,11.5,3034,2326,264.9,18326,193,180,13570,2878,23771,293,3680,9.8,68017,6.7,976
3571,32222,14081,14123,-670,17866,28129,7.4,42.42328592,43556,47822,8.8,9013,33458,10253,46.5,47370,25.6,112.9,58.22072249,135.6497661,320.1910599,2766,871,82.56173747,119804,3.5,304.1,211,1.086769362,19522,54993,9985,10728,67,94.8,912,11.0,173,10.2,34.4,12684,57,10.0,16480,15923,375.1,101942,3532,6071,52227,13850,127939,2753,18031,12.4,45689,10.1,6857
3383,31875,14788,16566,1449,17668,27833,7.4,48.23236805,54424,61454,8.6,9041,32770,10575,48.8,51164,25.8,85.1,23.12670262,69.59352542,196.014326,2009,1230,111.5203747,123234,3.2,225.8,203,2.231183558,22022,62275,9996,12167,98,77.8,553,10.4,426,8.1,37.2,13065,14,9.3,15778,15629,253.1,104790,3999,2084,60266,13688,131349,2235,19127,12.5,57939,10.1,5938
1160,12488,5299,5400,-202,6375,10691,5.8,21.53074166,48576,58242,8.2,2923,12200,3341,45.1,16090,26.5,99.6,8.862670668,34.32328837,76.05110336,1132,175,17.65065591,43991,3.3,240.5,31,0.665055945,6262,23066,2902,3729,15,87.2,168,12.6,18,7.0,33.2,4045,3,10.2,5739,4922,284.4,35669,445,863,21934,4915,45313,519,6548,11.3,53409,9.4,2386
122,1386,445,499,85,551,801,6.3,2.053858253,35407,43519,9.7,334,1136,391,49.3,1697,25.5,86.6,0.499201659,2.860838378,8.156129355,82,14,2.565070778,4514,3.6,236.3,199,0.091582861,342,1977,425,409,0,79.0,15,9.0,447,7.0,37.2,453,14,15.8,600,570,273.1,3443,6,47,1895,662,4599,50,612,13.2,39463,11.3,251
23,157,125,92,-34,119,210,5.4,0.302406901,59965,74975,8.9,61,255,57,47.3,323,28.7,72.9,0.183828914,0.341670718,1.06647827,13,2,0.311467782,865,3.3,199.9,542,0.016454308,149,436,51,90,0,66.5,9,6.5,548,6.2,35.0,86,0,8.7,133,77,224.8,683,4,0,423,110,903,23,117,12.6,67470,8.3,40
2575,26653,11875,11714,-406,12866,22997,7.1,47.47841497,46615,53987,8.4,6669,24080,7559,47.2,37247,23.1,93.7,19.63776098,69.43476669,200.083842,2147,809,53.03776322,85398,3.3,248.6,52,1.703812894,12347,47855,7192,7448,24,83.7,305,10.5,170,8.3,36.7,10254,7,11.8,14003,13849,292.7,78996,12990,5863,45708,12743,102663,3137,13423,13.0,50301,9.6,4742
17828,158830,105527,105957,4910,98505,148585,7.3,237.257073,69837,73697,6.2,40556,170081,39053,39.3,257886,20.8,134.3,260.729995,1106.597804,2494.389176,15956,44707,754.0224785,713678,2.7,353.7,284,9.028046917,202881,450670,54112,54298,589,114.6,3336,8.8,37,9.6,31.3,61478,65,10.3,106944,110616,449.5,656107,49477,28276,434714,92020,830839,19052,124326,9.4,71767,6.0,32646
1505,13350,5902,6264,214,9423,12208,11.7,45.78490351,49062,55234,8.6,3913,16940,3806,41.9,19053,31.1,128.9,22.76959423,32.96676863,91.89742708,1116,685,45.04775837,52568,3.3,305.7,105,1.392385259,13358,29407,2427,5996,12,119.7,260,11.6,86,12.1,30.7,5000,6,8.6,5511,5568,330.2,45447,527,987,28291,4909,54811,759,8278,11.0,52148,8.4,2960
1530,12372,5017,5374,246,8415,11291,7.5,14.7080246,54849,63683,8.8,3783,17655,3671,45.9,19687,34.2,116.2,19.73362368,48.78090025,117.7671101,2050,764,28.66992784,43045,3.6,306.1,205,0.428805382,11907,25525,3579,6635,22,97.6,214,13.4,220,9.6,36.4,5992,12,7.8,5168,5313,386.0,42920,6797,722,23475,4645,51823,981,7699,14.0,59266,8.6,3557
9669,69644,54504,47640,-936,46241,80333,6.5,219.5435369,48141,51773,7.6,23077,79133,22960,47.0,141823,20.1,79.9,27.23121615,117.1333173,473.8752781,6598,9149,170.0322348,225615,3.2,188.2,70,11.46577522,90726,189210,25441,25788,209,75.0,1768,9.6,137,7.0,34.7,38634,16,13.0,48083,55600,207.6,301671,147401,8776,182612,51510,392680,8538,49288,12.8,49957,7.6,14026
2494,19091,8905,9151,1238,11717,17861,5.4,27.5612243,40135,46539,10.2,6615,22345,6692,54.5,35206,28.0,72.9,16.75408173,31.13971036,97.19833349,1364,595,28.38702878,73911,3.9,199.9,480,1.499637985,10306,36389,9317,8405,83,66.5,779,13.7,280,6.2,38.0,9719,25,11.1,10170,9118,224.8,64575,5303,1238,35025,9462,82299,1628,11223,15.1,43337,10.4,4148
1009,13026,6292,6404,366,4990,8966,7.1,20.5396184,56444,66846,7.6,2669,8744,3174,46.7,16500,20.0,93.7,8.495484044,30.03814707,86.55819208,778,641,22.94464586,40024,2.9,248.6,295,0.737085825,5317,20584,4071,3076,12,83.7,162,9.2,52,8.3,33.6,4152,39,9.5,5291,5556,292.7,35296,2816,4828,19806,4770,44413,758,6439,11.8,61645,9.0,1595
254,2099,670,760,-59,1190,1441,6.3,3.038735173,50866,62878,9.7,570,2156,600,51.1,3007,30.7,90.3,1.712904621,3.461664525,9.576619938,145,40,3.649089864,3040,4.3,231.8,128,0.078229707,720,3692,1162,775,5,81.7,475,14.3,155,7.3,38.7,1043,9,6.2,636,734,263.2,5889,3153,0,3547,536,6941,228,1288,17.7,56872,10.2,352
164,1544,820,720,-111,880,1675,6.3,3.807187005,44755,55767,8.2,416,1772,413,49.0,2481,28.0,88.0,1.77058669,2.564371347,8.114479625,76,38,3.494354981,5662,3.2,206.5,377,0.295807151,925,2722,400,517,0,80.5,50,11.2,388,6.8,39.8,643,4,10.2,631,848,227.6,5059,326,978,2646,600,6196,120,817,12.7,50261,8.2,363
342,3758,1535,1678,5,1898,3464,6.5,9.677493905,55151,64937,8.0,863,3779,833,45.8,4975,26.6,84.8,3.819945535,5.72320093,18.30259953,161,50,8.607192635,13785,3.1,193.1,17,0.528433263,1862,7291,813,1183,0,77.9,50,11.3,20,6.9,34.2,1217,7,11.6,1848,1427,218.2,10856,60,277,7130,1731,14134,189,2080,11.2,60044,7.7,754
75,603,178,193,18,352,493,5.4,0.716332626,31920,39842,11.2,198,708,163,50.4,887,33.3,72.9,0.435448557,0.809339609,2.526242546,34,4,0.737795776,2043,4.3,199.9,205,0.038976484,305,841,315,320,0,66.5,35,10.8,257,6.2,34.9,295,5,8.5,223,190,224.8,1761,35,41,807,198,2139,22,296,16.7,35881,9.2,189
346,3079,777,904,-186,1660,1802,6.3,4.026884076,30806,37928,13.5,986,3114,1095,58.1,4253,33.4,86.6,0.978756546,5.609084508,15.99126297,179,17,5.029189652,8698,4.7,236.3,370,0.179561351,842,3461,1177,1204,0,79.0,97,15.0,346,7.0,40.4,1309,46,8.6,998,722,273.1,7324,19,123,3282,832,9017,186,1319,17.9,34367,14.9,601
242,2681,1428,1145,-124,1161,2336,5.0,2.813405453,52708,65176,8.3,630,2291,671,51.4,3901,23.2,72.3,1.651821848,4.405899106,9.636147868,170,114,2.626053259,8120,3.2,185.8,370,0.137391609,1053,4604,996,737,19,65.0,480,9.8,380,5.6,34.3,889,4,10.6,1019,1229,213.5,7591,483,1301,4434,1033,9475,259,1301,11.7,58942,8.8,422
11261,75283,82235,60477,4692,59675,97990,6.6,343.7844809,60948,64926,5.6,23497,102817,19505,36.7,154874,19.1,104.9,177.6775469,315.2501729,920.0598359,7742,84087,282.4013991,370844,2.7,265.0,220,12.45311725,150759,288814,35551,31872,519,96.0,5262,7.7,315,7.4,30.3,39594,60,14.0,69332,86769,302.7,421978,69551,17442,281072,74052,550210,19947,65621,9.4,62937,4.6,20177
6683,56407,39143,38833,4214,34992,60690,6.2,135.8482807,57764,63490,6.7,15260,59280,16289,41.2,93304,21.0,80.1,60.87349274,124.0101563,374.4096998,4225,6428,123.081676,235430,2.9,205.0,240,4.004071495,59163,147320,20514,20873,440,72.3,1560,8.5,261,7.0,31.3,25111,44,11.0,38352,36512,229.5,226738,45620,2340,143095,36181,295032,5554,40313,11.1,60627,7.2,9833
49429,352296,302440,268000,18400,203132,436563,6.2,834.339936,61644,64976,5.8,93262,330448,95615,45.3,725284,15.6,96.2,434.6275348,1227.684168,3226.410868,38779,168410,846.1979059,1666544,3.1,243.8,165,19.70838512,270028,961030,272865,108068,10339,87.1,44935,6.9,0,7.2,34.7,204266,14,14.1,319398,340133,279.6,1599325,204553,37611,922251,313371,2171603,76822,262251,12.8,63310,6.0,54810
43465,258521,172925,177484,15603,182752,295287,6.0,577.6517087,60307,63163,8.7,104031,414928,102154,41.2,494930,29.1,86.8,425.0763117,808.9216863,2030.362038,26049,43551,862.2916811,1112092,3.6,240.7,246,15.13893971,376461,731004,124483,153797,1623,80.1,8715,10.5,232,6.9,29.3,163990,80,10.0,163691,170402,265.2,1202485,292762,21625,704955,151868,1485941,27198,199269,13.6,61735,8.5,113753
3784,39833,20353,19958,809,19725,35451,7.1,91.92471886,54812,60538,7.0,8720,34912,8680,43.8,55000,21.7,94.6,51.63048923,85.639268,258.068266,2766,2285,85.33060747,147253,3.0,238.3,359,3.73198645,23850,85397,10334,11557,105,86.4,897,9.0,104,7.9,34.6,13020,1,12.0,21849,19982,264.9,125428,8617,2694,82631,19981,163129,3972,23063,10.4,57675,6.9,6661
90,915,368,363,-44,549,880,6.2,2.306740173,43776,50782,8.1,221,1046,216,46.9,1287,29.3,88.2,1.504873351,1.636687075,5.025398234,49,4,1.913129747,3440,3.3,214.5,464,0.170259394,496,2026,213,245,1,80.3,27,11.5,124,6.8,38.1,317,35,11.0,441,358,239.2,2741,17,143,1977,417,3532,43,535,11.5,47279,7.9,256
29,300,147,138,8,190,306,8.6,0.765905909,49280,60754,7.6,73,338,59,41.2,395,26.4,92.8,0.571951918,0.479929951,1.35626222,18,3,0.669636775,1180,3.0,219.1,16,0.080696186,238,731,68,82,0,84.8,29,5.6,288,9.2,33.3,98,25,12.9,153,136,240.4,959,12,29,713,160,1249,25,185,10.2,55017,6.2,58
1789,23407,7004,7923,-613,9951,12266,7.2,36.71058401,45826,53046,8.8,4646,18721,5030,48.5,25573,28.1,100.8,28.88843708,52.8746557,136.4009164,1615,200,35.68631591,63724,3.4,273.3,122,1.014076377,7916,32148,5129,6043,8,88.2,95,13.4,123,8.7,37.1,6934,3,9.7,7032,6874,320.5,52753,600,650,30533,6690,65263,636,9994,13.1,49436,9.5,3752
357,3290,1340,1443,-99,1529,2474,6.7,4.382446183,35334,44040,10.0,921,2963,1063,56.0,5180,24.6,65.9,0.427458288,4.710031039,13.5068829,255,29,8.333439142,9385,3.9,174.8,294,0.39549879,898,4355,1536,996,10,61.2,57,9.8,317,7.1,42.3,1423,7,10.9,1524,1502,191.3,9247,2293,102,4100,1428,11931,157,1668,15.4,39687,11.5,501
10946,81305,38574,40171,11408,50609,83228,6.0,138.5855467,49778,55116,10.0,28883,107419,29587,46.1,133006,32.9,86.8,101.980886,194.0699776,487.1081119,5455,8062,206.874077,297834,3.8,240.7,234,3.632012517,56151,155273,26405,45236,663,80.1,2165,12.4,233,6.9,34.4,40608,73,9.4,38649,37040,265.2,288227,40389,3869,149818,36202,356495,7382,45853,14.1,52447,10.3,24161
447,2272,4093,3423,-180,2875,4087,10.4,15.02146478,88142,110032,5.2,981,4298,928,24.3,4576,18.7,79.8,6.432063378,5.273492956,21.73318309,464,326,11.4259014,21971,2.4,199.6,466,1.158570422,9847,15340,958,1569,35,76.2,211,3.2,79,10.6,19.4,1360,32,9.9,2185,2967,207.9,18842,175,270,14876,2384,23081,363,2928,7.2,99087,4.9,657
6330,37856,35994,30764,408,30554,56717,6.7,176.3863443,50812,54862,6.0,14157,51447,16546,35.5,83104,18.0,97.8,110.786907,217.151709,594.5827576,5483,21427,129.441747,221224,2.7,249.7,141,4.217106688,67150,150474,12738,16702,198,87.6,1863,7.6,61,7.9,29.6,21235,94,11.5,41802,63434,287.0,234329,35762,17194,144991,32484,292735,12261,32218,9.1,52837,7.1,8783
504,5237,1786,2183,78,2903,3760,9.2,12.22354405,45137,53837,10.4,1513,5135,1816,50.6,7388,29.3,100.1,6.579635315,9.613359382,27.60885896,341,69,9.278467764,17191,3.5,231.6,104,0.551586194,2269,7943,1861,1803,8,89.4,60,13.8,175,10.5,35.9,2157,47,8.3,1941,1845,263.4,14602,157,123,7602,1610,17787,302,2852,14.8,49487,12.4,864
4922,34761,28071,22456,394,19437,43169,6.1,62.9574917,43618,49638,6.9,10041,34483,11067,47.6,69475,17.4,79.1,61.40708733,91.87991606,236.030608,4029,5426,88.8713933,88457,3.4,202.9,302,2.676293256,33352,79354,16128,11206,483,71.9,990,9.8,80,7.0,37.4,20949,16,13.9,25743,30396,228.7,146048,92819,6328,75325,27633,194160,5985,22936,14.3,46628,7.6,6282
1089,9155,3481,3382,-154,5242,5645,6.3,14.1898119,39027,46731,10.4,2673,9713,2797,50.0,12877,29.6,90.3,7.998655034,16.16474148,44.71940721,639,253,17.03995111,22067,4.2,231.8,154,0.365304892,4376,16762,4419,3455,56,81.7,225,14.8,224,7.3,39.5,4348,45,10.8,3566,3278,263.2,25756,9262,430,16123,3696,32412,549,4550,16.9,42879,10.9,1762
1379,12540,6379,6159,29,9118,11165,9.9,32.92625088,54398,60478,7.0,3185,16500,3325,36.5,16558,29.7,130.3,21.80371037,36.81031265,106.8116986,682,558,33.89726632,53051,3.0,322.7,103,1.235837835,15147,29178,2821,5705,21,121.5,171,9.6,35,11.7,28.9,4671,32,8.3,5842,5517,367.1,45302,507,823,28496,5155,55286,978,8473,10.3,57438,7.3,2938
434,5019,2199,2666,428,2086,3701,6.1,6.042181193,61011,72791,7.4,1050,3658,1234,46.2,6590,20.4,79.1,5.893385174,8.817935496,22.65242248,319,88,8.529200364,16463,3.0,202.9,306,0.256850271,1957,8756,1599,1406,6,71.9,58,9.9,300,7.0,33.5,1722,7,10.2,2714,2145,228.7,14275,1733,210,8437,2109,18634,286,2690,12.1,66901,8.6,619
190,1146,456,419,-36,806,1493,7.3,2.440699466,30709,38273,10.8,399,1391,294,50.9,1882,30.2,91.1,1.144010675,2.105237689,6.223246039,139,26,2.197704717,4220,5.1,213.8,340,0.088166236,366,2266,274,563,1,82.1,134,7.1,2,7.7,34.6,735,0,8.2,477,418,244.8,3700,49,8,2127,420,4506,76,648,19.9,34491,8.0,299
10298,56133,60805,53314,117,43302,72422,6.2,167.3572334,66597,72733,6.3,20306,76257,20253,37.0,119010,17.6,96.2,87.18036694,246.2567318,647.1740994,14047,29494,169.7357807,360356,3.2,243.8,43,3.953233767,67157,224057,78816,24484,2682,87.1,11351,6.2,164,7.2,28.1,36143,25,13.8,62929,61887,279.6,321760,15215,18086,210010,63650,435594,16496,50265,11.2,69665,6.3,14958
472,2916,2877,2462,-393,1897,3637,5.4,7.19514094,48338,59232,7.4,1081,3264,1058,48.7,7114,14.8,72.9,4.373825272,8.129341511,25.37462417,297,1602,7.410725687,18342,3.2,199.9,538,0.391495913,1792,11039,4171,962,47,66.5,368,6.2,544,6.2,38.3,1997,50,18.6,3458,2976,224.8,14612,841,151,10742,3983,21485,285,2292,13.7,53785,7.2,578
939,10615,4534,4720,-260,4297,7566,6.1,17.66158035,43376,51872,8.9,2499,7957,3105,50.4,14147,22.1,80.3,4.491133132,13.98363464,46.27195863,638,165,18.35252391,32502,3.3,212.0,343,0.70157346,3173,15892,3618,2818,15,74.4,340,10.3,205,6.5,37.1,3908,2,9.1,4481,4594,230.8,28077,1791,3315,15254,3797,35567,754,4898,13.9,47624,11.1,1428
2780,25214,11956,11797,-821,14079,24414,5.8,49.75453007,47911,53457,8.2,6677,27263,7365,47.0,38323,25.3,99.6,20.4803913,79.31631479,175.7434541,2795,1245,40.78819504,81657,3.4,240.5,149,1.536851193,16485,49961,7117,8744,53,87.2,278,11.2,351,7.0,33.9,10017,6,12.1,13049,13050,284.4,81562,18339,4009,47166,12840,104712,3140,13514,12.3,50684,9.0,5683
6334,28222,31690,32292,-850,35297,54710,6.2,105.3700419,80404,88022,5.7,12721,57232,13091,28.4,62929,20.9,96.2,54.88976325,155.046075,407.4682678,6984,14226,106.8676027,238965,2.9,243.8,70,2.489001517,71610,142618,24323,19001,549,87.1,5092,7.1,173,7.2,20.9,20316,39,9.9,37554,45391,279.6,221403,3959,14048,135634,28639,274255,11464,35086,9.2,84213,5.9,9305
